"","lon","lat"
"669",-82.9000751,32.1656221
"670",-4.2026458,56.4906712
"671",-97.1080656,32.735687
"672",NA,NA
"673",7.398574,9.0764785
"674",-0.1354673,50.8241791
"675",-71.4774291,41.5800945
"676",-3.7837117,52.1306607
"677",-77.0469214,38.8048355
"678",-86.5804473,35.5174913
"679",-7.6920536,53.1423672
"680",-71.4041795,41.7335176
"681",12.4738871,42.4983757
"682",77.2090212,28.6139391
"683",-2.6541002,53.7897081
"684",18.4240553,-33.9248685
"685",0.0746767,5.8142836
"686",-92.2895948,34.7464809
"687",-89.3389244,44.1618785
"688",-2.254448,53.716743
"689",-3.7837117,52.1306607
"690",-95.9692588,36.1513461
"691",-3.530875,50.7155591
"692",-1.0923964,51.26654
"693",-0.1277583,51.5073509
"694",-1.1743197,52.3555177
"695",-122.6764815,45.5230622
"696",-99.9018131,31.9685988
"697",-3.188267,55.953252
"698",-74.0776417,40.7281575
"699",-94.6858998,46.729553
"700",-0.612808,51.185732
"701",-6.2603097,53.3498053
"702",-4.1769987,55.7643524
"703",-0.1872275,51.1091401
"704",-78.6568942,37.4315734
"705",-6.4633381,52.336916
"706",-3.435973,55.378051
"707",-1.2577263,51.7520209
"708",-2.1561,53.6097136
"709",-77.0368707,38.9071923
"710",-2.58791,51.454513
"711",-76.278228,36.7046225
"712",-1.2577263,51.7520209
"713",-112.0740373,33.4483771
"714",-2.5969501,53.3900441
"715",-2.5918601,53.3918202
"716",-0.1277583,51.5073509
"717",-1.24484,51.608044
"718",-3.3821421,51.6858341
"719",-95.712891,37.09024
"720",0.4368824,51.858068
"721",-1.6162709,6.6666004
"722",NA,NA
"723",-2.9436644,53.3976041
"724",3.3792057,6.5243793
"725",0.4690888,51.7343313
"726",37.906193,-0.023559
"727",-2.885057,53.568935
"728",-2.58791,51.454513
"729",-49.2647885,-16.6868824
"730",-1.603411,54.95268
"731",-81.4678193,28.4743207
"732",-2.2426305,53.4807593
"733",-95.881671,36.063168
"734",-2.6541002,53.7897081
"735",-4.1769987,55.7643524
"736",-95.4171601,30.0799405
"737",-81.8723084,26.640628
"738",-1.1743197,52.3555177
"739",-2.58791,51.454513
"740",-1.1743197,52.3555177
"741",-95.3698028,29.7604267
"742",-2.6325074,53.5450645
"743",-97.2649486,37.7206321
"744",-1.890401,52.486243
"745",-1.5490774,53.8007554
"746",-79.0558445,35.9131996
"747",-1.1612185,52.9410933
"748",-0.1277583,51.5073509
"749",-98.4936282,29.4241219
"750",-4.251806,55.864237
"751",18.643501,60.128161
"752",-1.1743197,52.3555177
"753",-1.3080629,51.0576948
"754",-2.9915726,53.4083714
"755",-2.0963614,53.4909243
"756",NA,NA
"757",25.48583,42.733883
"758",-6.044589,52.9808207
"759",-118.6439809,34.1973122
"760",-1.4043509,50.9097004
"761",-8.224454,39.399872
"762",-0.1277583,51.5073509
"763",45.079162,23.885942
"764",-82.9987942,39.9611755
"765",NA,NA
"766",-4.251806,55.864237
"767",-0.975134,54.58156
"768",1.297355,52.6308859
